iter	Passed	Remaining
409	4860	1067
410	4870	1054
411	4882	1042
412	4892	1030
413	4910	1020
414	4933	1010
415	4946	998
416	4955	986
417	4963	973
418	4975	961
419	4990	950
420	5003	938
421	5015	926
422	5025	914
423	5035	902
424	5044	890
425	5055	878
426	5071	867
427	5082	855
428	5093	843
429	5103	830
430	5113	818
431	5123	806
432	5132	794
433	5147	782
434	5158	770
435	5168	758
436	5178	746
437	5188	734
438	5197	722
439	5206	709
440	5221	698
441	5231	686
442	5245	674
443	5262	663
444	5273	651
445	5282	639
446	5296	628
447	5314	616
448	5329	605
449	5340	593
450	5350	581
451	5364	569
452	5376	557
453	5387	545
454	5397	533
455	5406	521
456	5418	509
457	5431	498
458	5440	485
459	5453	474
460	5463	462
461	5473	450
462	5482	438
463	5493	426
464	5508	414
465	5523	403
466	5533	391
467	5544	379
468	5555	367
469	5565	355
470	5579	343
471	5589	331
472	5602	319
473	5613	307
474	5624	296
475	5636	284
476	5650	272
477	5665	260
478	5676	248
479	5685	236
480	5698	225
481	5709	213
482	5726	201
483	5736	189
484	5745	177
485	5755	165
486	5766	153
487	5778	142
488	5801	130
489	5812	118
490	5823	106
491	5835	94
492	5844	82
493	5855	71
494	5869	59
495	5884	47
496	5902	35
497	5918	23
498	5928	11
499	5942	0
