iter	Accuracy	MultiClass
75	0.5684139521	0.9090827409
76	0.5688397304	0.9083565408
77	0.5692798607	0.9076106067
78	0.5693564051	0.9069779941
79	0.5698969999	0.9063604063
80	0.57028929	0.9057757088
81	0.5705476274	0.9051722488
82	0.5709973257	0.9042667226
83	0.5712173909	0.9038410191
84	0.5719589148	0.9032842781
85	0.57257127	0.9023793499
86	0.5727913352	0.9018104994
87	0.5731979773	0.9012936004
88	0.5736381076	0.9007584623
89	0.5739538533	0.9003329084
90	0.5744466079	0.8992886454
91	0.5751498596	0.8984790238
92	0.5756952385	0.897845888
93	0.5760062001	0.8972616389
94	0.5766233393	0.8963422091
95	0.5772883188	0.8953353213
96	0.5776519048	0.8948688041
97	0.5779820025	0.8943492889
98	0.5785369494	0.8936538859
99	0.5786374139	0.893145359
100	0.579211497	0.8923639932
101	0.579594219	0.8915347123
102	0.5798142841	0.8909915759
103	0.5803931512	0.890343191
104	0.580555808	0.8899521717
105	0.5808141454	0.8894256299
106	0.5809720182	0.8889902836
107	0.5814312847	0.8885678692
108	0.5815221811	0.8881204133
109	0.5819623114	0.8876644359
110	0.5822302169	0.887255925
111	0.5824263619	0.8868992161
112	0.5825220424	0.8865577563
113	0.5831009094	0.8859338896
114	0.5832348621	0.8855964663
115	0.5835553918	0.885260239
116	0.5835362557	0.8847983563
117	0.5843304039	0.8838728717
118	0.5845074128	0.8835643768
119	0.5848135905	0.8830233335
120	0.5850145195	0.8823756213
121	0.585296777	0.8818086396
122	0.5854211617	0.8811256452
123	0.585669931	0.8807865775
124	0.5856986351	0.8802700522
125	0.5859187003	0.8798297724
126	0.5863827507	0.8793946504
127	0.5865262715	0.8790975923
128	0.586822881	0.8787334084
129	0.5869664018	0.8784472639
130	0.5875022126	0.8778176413
131	0.5876553014	0.8775308241
132	0.5879136388	0.877234663
133	0.5880954317	0.8769412677
134	0.5881958963	0.8765466604
135	0.5883824732	0.8761447275
136	0.5885642662	0.8759160661
137	0.5890618048	0.8752744087
138	0.589286654	0.8748655988
139	0.5895880476	0.8743879438
140	0.5897267843	0.8740541833
141	0.5900760182	0.8736381973
142	0.5902817312	0.8732305834
143	0.5903439236	0.8729309091
144	0.5908988705	0.8724641677
145	0.5911332877	0.8720338296
146	0.5916403944	0.8715902608
147	0.5915782021	0.8713061346
148	0.591937004	0.870916386
149	0.592142717	0.8706763625
150	0.5927168001	0.870057504
151	0.5930612499	0.8693310797
152	0.5932143387	0.8690353671
153	0.5933674275	0.8687865978
154	0.5934774601	0.8683410107
155	0.5936401169	0.8680829723
156	0.59384583	0.867837791
157	0.5939606466	0.8675111318
158	0.5941854958	0.8670634517
159	0.5944342651	0.8665264449
160	0.5948600433	0.8660730838
161	0.5950753245	0.8657861917
162	0.5952427654	0.8654771736
163	0.5953815021	0.8652733293
164	0.5956541915	0.864927534
165	0.5958120644	0.8646354842
166	0.5960895378	0.8643299046
167	0.5961756503	0.8640783695
168	0.596323955	0.8638752727
169	0.5965440202	0.863658347
170	0.5967497333	0.8633643537
171	0.5970128547	0.8631010829
172	0.5972233518	0.8628766822
173	0.5972855441	0.8626403214
174	0.5974816891	0.8624213028
175	0.5977735147	0.8620332735
176	0.598022284	0.8616389652
177	0.5980605562	0.8613907191
178	0.5980988284	0.8611705792
179	0.5984193581	0.8607822509
180	0.5984432782	0.8605279501
181	0.5987398878	0.860036242
182	0.5988547044	0.8597648233
183	0.5993331069	0.8594212705
184	0.599553172	0.8590152264
185	0.5997971573	0.85875061
186	0.6000841988	0.8582923153
187	0.6003760244	0.8580639528
188	0.6006008736	0.8577618118
189	0.600682202	0.857569479
190	0.6010362199	0.8573148792
191	0.6013615336	0.8568329634
192	0.6014141578	0.856660589
193	0.6016677112	0.8563662219
194	0.6020600012	0.8560785824
195	0.6020600012	0.8558914822
196	0.6021461137	0.8555614592
197	0.6024092351	0.855336311
198	0.6027919571	0.8550876164
199	0.6029450459	0.8547706748
200	0.6029976702	0.8544472298
201	0.6031794631	0.8542619983
202	0.6031172708	0.8538860039
203	0.603346904	0.8535360973
204	0.6036339455	0.8532631088
205	0.6037057059	0.8529534179
206	0.6040932119	0.8525875895
207	0.6042175966	0.8523078735
208	0.6043180611	0.8520876589
209	0.6045094221	0.8519031002
210	0.6045620464	0.8514451045
211	0.6048443039	0.8512396904
212	0.6049878247	0.8508302078
213	0.6050643691	0.8506037888
214	0.6052892182	0.8504016638
215	0.6053896828	0.8501417566
216	0.6056862923	0.8499485269
217	0.6058633013	0.8496464605
218	0.6061216386	0.849401952
219	0.6061551268	0.8491747108
220	0.6065378488	0.8489607004
221	0.6066574494	0.8487560339
222	0.6067435619	0.8484823727
223	0.606949275	0.8482185038
224	0.6070880117	0.8477651426
225	0.6072076123	0.8475736321
226	0.6072076123	0.8474141895
227	0.607528142	0.8470940336
228	0.6076429586	0.846930106
229	0.6079491362	0.8467999656
230	0.6082313937	0.8464976002
231	0.6081596334	0.8463013057
232	0.6085088672	0.8460116479
233	0.6087385004	0.8458214829
234	0.608843749	0.8456147981
235	0.6089442135	0.8453383711
236	0.6091642786	0.8451025336
237	0.6093508556	0.8448325352
238	0.6093891278	0.8445113328
239	0.6095565687	0.8442607694
240	0.6097240096	0.8439095173
241	0.60979577	0.8436943857
242	0.6097814179	0.8435475759
243	0.6101497878	0.8430771717
244	0.6102885246	0.8428819984
245	0.6104655335	0.8426797239
246	0.6104655335	0.8424615275
247	0.6107095188	0.8422262132
248	0.6109774242	0.8420144454
249	0.6110348325	0.8418356424
250	0.6109774242	0.8416263413
251	0.6112118414	0.841180231
252	0.6113984184	0.8410557716
253	0.6114653948	0.8408750251
254	0.6116615398	0.8406971192
255	0.6120490458	0.8404735408
256	0.6122308388	0.8403090151
257	0.6123169512	0.8401412005
258	0.6124796081	0.8399357864
259	0.6125418004	0.8396607797
260	0.612651833	0.8393703744
261	0.6128718982	0.8392012891
262	0.6131158834	0.8390739144
263	0.6133072444	0.8388606515
264	0.6134364131	0.8386346063
265	0.6134268451	0.8384769577
266	0.6134890374	0.8383127311
267	0.6137569428	0.8380779401
268	0.613795215	0.8379355406
269	0.6139339517	0.837719213
270	0.6141061767	0.8375303935
271	0.614163585	0.8372567323
272	0.6142114252	0.837045114
273	0.6143884341	0.8369120583
274	0.6145845792	0.8367266773
275	0.6147089638	0.8364545111
276	0.6148811887	0.836285052
277	0.61512039	0.8359161588
278	0.6150629817	0.835669931
279	0.6152304226	0.8354802892
280	0.6155174641	0.8352833219
281	0.6156753369	0.8351258229
282	0.6157231772	0.8349959067
283	0.6158045056	0.8348828841
284	0.6160867631	0.8347184332
285	0.6161441714	0.834580145
286	0.6163929407	0.8343014755
287	0.6165029733	0.8341115348
288	0.616632142	0.8338883301
289	0.6167804467	0.8337277662
290	0.6170052959	0.8334601598
291	0.6170961924	0.833294214
292	0.6171870889	0.8331505437
293	0.6172301451	0.8328932529
294	0.6175458908	0.8325771334
295	0.6176607074	0.832343688
296	0.617789876	0.8320958904
297	0.6179812371	0.8318652107
298	0.6181438939	0.831636325
299	0.6183113348	0.8314829372
300	0.6182395744	0.831262872
301	0.6184739916	0.8311088115
302	0.6187562491	0.8309101997
303	0.6190432906	0.8307170446
304	0.6190815628	0.83054325
305	0.6191294031	0.8303215403
306	0.6194595008	0.830065296
307	0.6195982376	0.829828711
308	0.6200096637	0.8296184381
309	0.620067072	0.8293956072
310	0.6201962407	0.8292745116
311	0.6203971698	0.8291127517
312	0.6205406905	0.8289083094
313	0.6204784982	0.8285865837
314	0.6205980988	0.8282870589
315	0.6207368356	0.8281469766
316	0.6208899244	0.8279370028
317	0.6210382291	0.8277596948
318	0.6211578298	0.827609895
319	0.6212535103	0.8274450704
320	0.6214592234	0.8272819651
321	0.6215261997	0.8271521236
322	0.621779753	0.826942374
323	0.6218467294	0.8267641691
324	0.6219711141	0.8265622683
325	0.622143339	0.8262480924
326	0.6222868597	0.8260631599
327	0.6223968923	0.8259265909
328	0.6224590846	0.8257161686
329	0.6225834693	0.8255394586
330	0.6226935019	0.8254211288
331	0.6227413421	0.8252667692
332	0.6227748303	0.8251169694
333	0.6228992149	0.8249667959
334	0.6229614073	0.824842187
335	0.6232197446	0.8246745218
336	0.6233536973	0.8244733685
337	0.6234637299	0.8242337935
338	0.6235976826	0.8241391595
339	0.6237746915	0.8239501158
340	0.6238033957	0.8237767696
341	0.6237172832	0.823664644
342	0.6238320999	0.8235629835
343	0.6239851887	0.8233227357
344	0.624056949	0.8231857182
345	0.6242243899	0.8230682854
346	0.6242722302	0.8229031618
347	0.6244827273	0.8227288438
348	0.6246358161	0.8225879394
349	0.6247267126	0.8224574252
350	0.6247793368	0.8223338628
351	0.6249037215	0.8221426513
352	0.6251190026	0.8217836999
353	0.6252098991	0.8216466076
354	0.6252864435	0.8215148975
355	0.6255399968	0.821276668
356	0.6255208607	0.8211175991
357	0.6256261093	0.8209750501
358	0.6256930856	0.8208560475
359	0.6259035828	0.820661846
360	0.6260040473	0.820533649
361	0.626142784	0.8203953608
362	0.6261571361	0.8202741157
363	0.6262528166	0.8201701379
364	0.6263532811	0.8199749646
365	0.6265015859	0.8197389029
366	0.626716867	0.8195704902
367	0.6266451067	0.81942981
368	0.6267216511	0.8193081911
369	0.6268077635	0.8191265476
370	0.6269369322	0.8189913242
371	0.6270278287	0.818774847
372	0.6271857015	0.8185558284
373	0.6274344708	0.8183927978
374	0.6274488229	0.8182791024
375	0.6275827756	0.8181316946
376	0.6277167283	0.8179441459
377	0.6278889532	0.8177545042
378	0.6279989858	0.81767041
379	0.6280659621	0.8175405685
380	0.6280707462	0.8173421062
381	0.6282046989	0.8172276634
382	0.6284726043	0.8169694008
383	0.6287261576	0.8167892523
384	0.6287644298	0.8165987136
385	0.6290610394	0.8163737896
386	0.6290419033	0.8162283254
387	0.6290514713	0.8161282346
388	0.6291327998	0.8159049552
389	0.6292858886	0.8157943246
390	0.6293480809	0.8157132204
391	0.6294820336	0.8156095416
392	0.6296590425	0.8154107056
393	0.6296542585	0.8152279409
394	0.6297595071	0.8149948691
395	0.6300465486	0.8147449038
396	0.6299891403	0.8145573551
397	0.6301709332	0.8143768329
398	0.6302139894	0.8142303969
399	0.6303814303	0.8140776071
400	0.63070196	0.8138603824
401	0.6307115281	0.8136794117
402	0.6308311287	0.8134690641
403	0.6310129217	0.8133300284
404	0.6311755785	0.8132084842
405	0.6311899306	0.8130968071
406	0.6313908596	0.8129699557
407	0.6314004277	0.8128327888
408	0.6315056762	0.8126472583
409	0.6315439484	0.8124813872
410	0.6316826852	0.8123525175
411	0.6317161734	0.8122415131
412	0.6317831497	0.8121426931
413	0.6317113893	0.8119908003
414	0.6320175669	0.8118293395
415	0.63222328	0.8116814832
416	0.6322615522	0.811555753
417	0.6323620168	0.8114591008
418	0.6324337771	0.8112708793
419	0.6326681944	0.81111794
420	0.6327638749	0.810940333
421	0.632969588	0.8106848362
422	0.6330413483	0.8105072293
423	0.6332470614	0.8103398631
424	0.6333331739	0.8100789843
425	0.6334766946	0.8099538521
426	0.6335149668	0.8097642103
427	0.6336154314	0.8096396014
428	0.6334958307	0.8095566285
429	0.6336728397	0.8093629502
430	0.6338307125	0.8091557421
431	0.6338546326	0.8090400285
432	0.6339646652	0.8088935178
433	0.6339933693	0.8087741414
434	0.6341751623	0.8085894332
435	0.6340938339	0.8084554805
436	0.6342564907	0.808324443
437	0.6344669878	0.808183688
438	0.6344622038	0.807933947
439	0.6346296447	0.8078239144
440	0.6347157571	0.8076077362
441	0.6347875175	0.8075277533
442	0.6347923015	0.8073908106
443	0.6349214702	0.8071824813
444	0.6350984792	0.8070347745
445	0.6350458549	0.8069710871
446	0.6350841271	0.806855224
447	0.6353950887	0.8067169358
448	0.6354668491	0.8065696028
449	0.6355242574	0.8064430504
450	0.6356486421	0.8063039399
451	0.6357012663	0.8062243307
452	0.6357778107	0.8061204277
453	0.6358974114	0.805949324
454	0.636021796	0.8057925724
455	0.6359835238	0.8056255801
456	0.6361126925	0.8054849746
457	0.636213157	0.805239569
458	0.6362514292	0.8051444118
459	0.6364380062	0.8050343045
460	0.6366341512	0.8048843552
461	0.6366867755	0.8047378444
462	0.6368733525	0.8046113667
463	0.6368877046	0.8044883276
464	0.6370503614	0.8043135612
465	0.6371269058	0.8042260284
466	0.6372991307	0.8040087291
467	0.6373995953	0.8038607233
468	0.6374761397	0.8036979169
469	0.6375048438	0.8036225685
470	0.6375670362	0.8033939071
471	0.6376053084	0.8032823047
472	0.6377727492	0.803140877
473	0.6379067019	0.8030175388
474	0.638117199	0.8028494999
475	0.6381841754	0.8027643593
476	0.6383181281	0.8025792025
477	0.6383324802	0.8024209559
478	0.6385716814	0.8022578506
479	0.6385573294	0.8021654591
480	0.63867693	0.8020521375
481	0.6387008501	0.8018312501
482	0.638868291	0.8017283935
483	0.6389113472	0.8015412186
484	0.6389735396	0.8014284202
485	0.6390405159	0.8013417845
486	0.639059652	0.8012324994
487	0.6393562616	0.8010631898
488	0.6394854303	0.8009097272
489	0.6395141344	0.800818457
490	0.6395811108	0.8006948946
491	0.6396911433	0.8005239405
492	0.6398681523	0.800390212
493	0.6398298801	0.8003177789
494	0.6400499452	0.8002251631
495	0.6400690813	0.8000708036
496	0.6401360577	0.7999123327
497	0.6400977855	0.7998197918
498	0.64019825	0.7996940616
499	0.6402795784	0.7996032399
