ticker
HYDR
LKOH
VTBR
NVTK
SBERP
SBER
MOEX
PHOR
RTKM
MTLR
MGNT
MSNG
PIKK
MSRS
MTSS
LSRG
RTKMP
TATNP
TATN
ALRS
MTLRP
IRAO
TRMK
MRKC
TGKA
GCHE
UTAR
MRKP
AFLT
TRNFP
RGSS
TUZA
BRZL
BSPB
CHGZ
CHKZ
CHMF
CHMK
FEES
FESH
VJGZP
VGSBP
VGSB
USBN
URKZ
UNKL
CNTLP
CNTL
VJGZ
ZILL
ZVEZ
VRSBP
VRSB
VLHZ
ABRD
STSB
STSBP
SVAV
TASB
TASBP
GAZC
GAZP
GAZS
GAZT
GMKN
HIMCP
TORSP
TORS
TGKN
TGKBP
TGKB
DVEC
DZRD
UNAC
DIOD
DZRDP
TTLK
UKUZ
KZOS
IGST
KZOSP
SIBN
SNGSP
KGKCP
KGKC
KCHEP
SNGS
MAGN
MFGS
KMAZ
KMEZ
KOGK
KRKN
KRKNP
KRKOP
KROT
LNZL
LSNG
LNZLP
LSNGP
MAGEP
MAGE
LVHK
SAGO
SAGOP
SARE
KUZB
KRSBP
KRSB
KROTP
KLSB
KCHE
KBSB
KAZT
KAZTP
JNOSP
JNOS
IRKT
IGSTP
MISB
MISBP
MRKS
MRKK
MRKU
RTSBP
MRKY
MRKV
RUSI
RZSB
RTSB
SELG
SAREP
NKNCP
NLMK
NKSH
MSTT
NFAZ
NAUK
MVID
NKNC
PMSBP
MRKZ
MRSB
PLZL
PMSB
OMZZP
OGKB
MFGSP
MGTSP
MGTS
MGNZ
NMTP
NNSB
NNSBP
NSVZ
ROLO
RTGZ
ROSN
ROST
PRMB
AFKS
YRSBP
YRSB
YKENP
RKKE
RDRB
RASP
WTCMP
YAKG
YKEN
WTCM
VSMO
BISVP
VSYDP
VSYD
BANE
BANEP
AVAN
ASSB
APTK
ARSA
AMEZ
AKRN
RBCM
BLNG
RUAL
PAZA
GAZA
AQUA
TNSE
CBOM
GAZAP
LPSB
NKHP
UPRO
RNFT
SLEN
BELU
SFIN
GTRK
PRFN
UWGN
GEMA
EELT
ETLN
ENPG
FLOT
SMLT
MDMG
OZON
OKEY
BSPBP
SGZH
GEMC
RENI
SVET
SPBE
VEON-RX
LENT
VKCO
POSI
WUSH
ELFV
GECO
CARM
ABIO
SOFL
ASTR
HNFG
EUTR
UGLD
SVCB
MGKL
DELI
DIAS
KLVZ
LEAS
ZAYM
MBNK
SVETP
IVAT
ELMT
VSEH
YDEX
PRMD
APRI
HEAD
